geneid	chr	left	right
ENSG00000259483	14	56302536	56313442
ENSG00000259515	14	102933574	102937177
ENSG00000259519	15	45170344	45199958
ENSG00000259523	15	29822631	29824081
ENSG00000259539	15	45152664	45167526
ENSG00000259555	15	78620101	78634126
ENSG00000259563	15	44516650	44517483
ENSG00000259615	15	89579765	89582297
ENSG00000259635	15	64701248	64719602
ENSG00000259639	15	35845222	36252276
ENSG00000259644	15	29728186	29729531
ENSG00000259647	15	30004944	30045899
ENSG00000259654	15	84685884	84686946
ENSG00000259668	15	51455268	51460582
ENSG00000259669	15	53946709	53984010
ENSG00000259682	15	64470253	64471364
ENSG00000259684	15	50557601	50560500
ENSG00000259692	15	81610828	82013579
ENSG00000259697	15	62193542	62222911
ENSG00000259704	15	90836540	90866518
ENSG00000259713	15	89518523	89591956
ENSG00000259715	15	50359450	50360194
ENSG00000259735	15	59348648	59359889
ENSG00000259737	15	36438972	36471016
ENSG00000259744	15	70848883	70849770
ENSG00000259755	15	101042267	101086495
ENSG00000259771	15	59266720	59271162
ENSG00000259776	1	239247801	239255172
ENSG00000259782	16	23446446	23447282
ENSG00000259793	2	233351132	233353416
ENSG00000259797	16	68316801	68319036
ENSG00000259802	5	10323547	10354117
ENSG00000259805	15	82925884	83103443
ENSG00000259810	16	31788202	31790993
ENSG00000259865	1	247187281	247188526
ENSG00000259868	14	55803308	55972496
ENSG00000259869	10	42751178	42754693
ENSG00000259876	16	12556353	12557694
ENSG00000259891	8	140505813	140508043
ENSG00000259921	15	99157231	99161140
ENSG00000259926	16	53448748	53449590
ENSG00000259932	15	45198517	45199139
ENSG00000259941	15	56394321	56396785
ENSG00000259952	16	29806496	29807732
ENSG00000259959	4	47840122	47844339
ENSG00000259967	15	80165923	80166980
ENSG00000259976	3	114314501	114329714
ENSG00000259986	15	83179156	83439445
ENSG00000259994	10	30302826	30306066
ENSG00000259999	16	75321890	75325048
ENSG00000260008	11	102107886	102109842
ENSG00000260022	16	883780	885090
ENSG00000260035	15	45200325	45200632
ENSG00000260037	15	71818396	71823384
ENSG00000260038	16	57247350	57248492
ENSG00000260059	2	138568889	138602426
ENSG00000260070	7	36319775	36320479
ENSG00000260072	16	24465805	24495184
ENSG00000260077	2	10034314	10044450
ENSG00000260086	16	48609450	48746318
ENSG00000260120	4	52680609	52692999
ENSG00000260121	16	88718615	88720459
ENSG00000260126	16	16499533	16664135
ENSG00000260136	16	23452719	23457634
ENSG00000260158	16	32809556	32824778
ENSG00000260160	19	52058490	52063703
ENSG00000260167	16	30585770	30625360
ENSG00000260177	16	87779815	87806631
ENSG00000260179	1	1249777	1251334
ENSG00000260235	15	75624793	75625690
ENSG00000260244	4	155734448	155737062
ENSG00000260249	16	50664903	50671639
ENSG00000260257	20	32856621	32858751
ENSG00000260267	16	31456711	31459736
ENSG00000260269	15	75527150	75601205
ENSG00000260271	6	90295507	90363912
ENSG00000260274	15	75367945	75370262
ENSG00000260288	15	75737724	75763326
ENSG00000260289	16	7878799	8112756
ENSG00000260293	16	2476558	2482173
ENSG00000260304	16	31182511	31183285
ENSG00000260316	16	898967	905224
ENSG00000260331	2	18547386	18548204
ENSG00000260351	15	83022571	83090782
ENSG00000260360	1	179953184	179954722
ENSG00000260361	15	92779757	92781492
ENSG00000260366	19	48926171	48926444
ENSG00000260370	10	13839	35930
ENSG00000260377	3	182739669	182740848
ENSG00000260400	10	68698500	68700794
ENSG00000260412	9	27937617	27944497
ENSG00000260417	16	85592266	85595720
ENSG00000260425	16	1358900	1361405
ENSG00000260430	16	19086831	19098332
ENSG00000260436	16	2571570	2572353
ENSG00000260460	1	156509854	156511681
ENSG00000260464	1	93847174	93848939
ENSG00000260482	16	23670011	23675499
ENSG00000260495	16	81310731	81313423
ENSG00000260507	16	90105095	90106316
ENSG00000260534	15	72589691	72591845
ENSG00000260541	16	1841020	1843547
ENSG00000260558	16	66738238	66739722
ENSG00000260563	17	82293716	82294910
ENSG00000260569	18	74211386	74241099
ENSG00000260573	16	50407171	50546347
ENSG00000260580	16	26721874	26729126
ENSG00000260588	8	41828165	41829934
ENSG00000260592	16	19459975	19487998
ENSG00000260620	16	51054728	51056399
ENSG00000260626	16	33533816	33534976
ENSG00000260635	16	22365121	22369047
ENSG00000260646	16	1512979	1514675
ENSG00000260664	16	72425611	72535458
ENSG00000260677	9	97743208	97744935
ENSG00000260698	1	246682108	246685075
ENSG00000260701	16	77433368	77446798
ENSG00000260711	14	91752856	91759798
ENSG00000260719	16	29745247	29749644
ENSG00000260750	16	87595131	87600337
ENSG00000260751	16	23568673	23569696
ENSG00000260756	16	10351440	10352752
ENSG00000260757	16	31402565	31404699
ENSG00000260763	5	4436850	4440259
ENSG00000260773	15	66314914	66331703
ENSG00000260786	5	42188266	42191523
ENSG00000260796	16	28820570	28822033
ENSG00000260798	16	68814330	68823526
ENSG00000260805	1	212555799	212559731
ENSG00000260814	15	41770756	41772732
ENSG00000260816	16	78895361	78899644
ENSG00000260834	16	65163472	65235088
ENSG00000260838	8	72947150	72950445
ENSG00000260850	16	51354456	51525684
ENSG00000260862	16	82773319	82829638
ENSG00000260877	11	69299274	69372512
ENSG00000260884	16	74313337	74315634
ENSG00000260911	16	31043150	31049868
ENSG00000260912	9	19453209	19455173
ENSG00000260917	10	112823490	112827726
ENSG00000260918	4	47431960	47438959
ENSG00000260949	8	38062881	38063791
ENSG00000260963	16	52607006	52614768
ENSG00000260971	1	56154545	56477687
ENSG00000260997	7	44958999	44960909
ENSG00000261003	6	170414139	170419325
ENSG00000261026	8	22679013	22684009
ENSG00000261055	1	109895973	109907393
ENSG00000261058	16	75119558	75144200
ENSG00000261069	15	25087661	25088896
ENSG00000261078	16	58382985	58391765
ENSG00000261079	16	74365941	74369826
ENSG00000261090	16	23017723	23058559
ENSG00000261094	9	122931613	122940333
ENSG00000261098	11	107312132	107316271
ENSG00000261103	16	83678043	83717921
ENSG00000261104	2	9106593	9109865
ENSG00000261123	16	2094830	2097026
ENSG00000261124	16	31065495	31069246
ENSG00000261131	16	46660696	46661591
ENSG00000261140	16	2569043	2571936
ENSG00000261170	16	74422120	74441937
ENSG00000261177	16	86071651	86089526
ENSG00000261187	15	72465128	72466262
ENSG00000261200	16	33541842	33545812
ENSG00000261211	6	6680309	6686948
ENSG00000261216	16	11908208	11908916
ENSG00000261248	16	74282415	74287519
ENSG00000261250	1	179543201	179548922
ENSG00000261253	16	89320452	89325110
ENSG00000261270	16	56940278	56941342
ENSG00000261324	12	14762504	14767931
ENSG00000261327	16	88177277	88186950
ENSG00000261329	16	27678940	27718883
ENSG00000261338	2	218255319	218257366
ENSG00000261342	19	2727743	2729327
ENSG00000261357	16	19065991	19066694
ENSG00000261367	16	30107675	30110541
ENSG00000261392	16	9068554	9072412
ENSG00000261403	15	77954074	77963654
ENSG00000261411	20	11685144	11687323
ENSG00000261427	16	19114002	19173578
ENSG00000261451	8	10433672	10438312
ENSG00000261467	7	73916652	74000084
ENSG00000261468	3	30695664	30699576
ENSG00000261471	16	84594393	84598252
ENSG00000261476	16	75458252	75460017
ENSG00000261487	16	30948386	30956511
ENSG00000261505	16	1317891	1322845
ENSG00000261512	16	46622861	46624451
ENSG00000261519	16	66549280	66551189
ENSG00000261523	16	14695567	14707055
ENSG00000261526	19	1874516	1876239
ENSG00000261541	16	32454612	32458758
ENSG00000261553	13	75549773	75807120
ENSG00000261560	16	11881075	11882569
ENSG00000261578	11	76800364	76804555
ENSG00000261592	16	87396704	87400295
ENSG00000261596	16	21626742	21627569
ENSG00000261602	16	69709874	69710583
ENSG00000261610	21	32259804	32261585
ENSG00000261613	16	2554060	2556060
ENSG00000261616	15	99139317	99145370
ENSG00000261630	16	53981229	53981912
ENSG00000261632	15	71972181	72046533
ENSG00000261654	1	110936369	110942353
ENSG00000261668	4	127840198	127844040
ENSG00000261669	16	24803451	24819739
ENSG00000261670	8	103464389	103468985
ENSG00000261684	15	42497394	42532840
ENSG00000261695	16	14734685	14746177
ENSG00000261736	16	27643199	27644663
ENSG00000261751	16	49920730	49924186
ENSG00000261762	15	78589123	78591276
ENSG00000261763	3	139678620	139682564
ENSG00000261765	16	71881553	71882273
ENSG00000261766	16	28862166	28863340
ENSG00000261783	16	75379818	75381260
ENSG00000261789	16	4560001	4561662
ENSG00000261799	12	273954	277123
ENSG00000261800	16	35140703	35149355
ENSG00000261804	16	53373436	53415927
ENSG00000261821	15	74365341	74371212
ENSG00000261826	3	140865075	140867783
ENSG00000261829	2	231052040	231052637
ENSG00000261838	16	81069854	81076600
ENSG00000261840	16	30697043	30699060
ENSG00000261845	17	82602989	82604178
ENSG00000261864	16	68077340	68122271
ENSG00000261889	16	3156736	3157483
ENSG00000261898	17	4731756	4732371
ENSG00000261916	17	3601761	3602272
ENSG00000261924	17	80966239	80971443
ENSG00000261997	16	55538200	55542027
ENSG00000262003	17	909632	917961
ENSG00000262038	16	47529190	47529916
ENSG00000262049	17	81701324	81703317
ENSG00000262050	17	2711925	2713612
ENSG00000262079	17	55325182	55327791
ENSG00000262160	16	68225969	68229145
ENSG00000262202	17	19111680	19190245
ENSG00000262228	17	763565	765319
ENSG00000262265	17	47160398	47167723
ENSG00000262298	17	56939932	56941275
ENSG00000262312	16	3542739	3545785
ENSG00000262358	17	3729361	3730493
ENSG00000262370	16	3076911	3087112
ENSG00000262380	16	15683290	15684570
ENSG00000262410	17	82745068	82745709
ENSG00000262420	16	11741910	11768533
ENSG00000262445	17	1995614	2003671
ENSG00000262514	16	68199795	68200981
ENSG00000262528	16	654611	656194
ENSG00000262580	17	80200673	80205949
ENSG00000262624	17	7435682	7440911
ENSG00000262692	17	3721628	3722488
ENSG00000262712	16	4335870	4337818
ENSG00000262714	16	53386944	53389085
ENSG00000262732	16	13930675	13935635
ENSG00000262810	17	2089681	2101560
ENSG00000262815	17	9464742	9467422
ENSG00000262823	17	4481886	4486472
ENSG00000262833	17	80801640	80805632
ENSG00000262837	17	49834239	49847644
ENSG00000262873	17	81017969	81028079
ENSG00000262879	17	46982786	47100323
ENSG00000262899	16	3307573	3308393
ENSG00000262966	17	9171068	9179118
ENSG00000262967	17	50693448	50695449
ENSG00000262999	16	11465260	11473174
ENSG00000263080	16	11341809	11345294
ENSG00000263089	17	57092145	57096425
ENSG00000263096	17	55271504	55273653
ENSG00000263120	17	56982749	56985104
ENSG00000263126	16	67882461	67886367
ENSG00000263159	16	4032012	4032936
ENSG00000263176	17	50212661	50215357
ENSG00000263234	16	13953155	13954825
ENSG00000263257	16	14407668	14418908
ENSG00000263272	17	5425139	5432876
ENSG00000263276	16	68224713	68227734
ENSG00000263321	17	82729164	82734143
ENSG00000263338	17	3577955	3578853
ENSG00000263466	17	38903704	38904600
ENSG00000263477	17	29863402	29866092
ENSG00000263494	17	20185082	20322973
ENSG00000263531	17	30863921	30864940
ENSG00000263551	18	976387	1310018
ENSG00000263603	17	30729469	30731202
ENSG00000263657	17	29761103	29787836
ENSG00000263731	17	81878425	81881106
ENSG00000263745	18	1883253	2489426
ENSG00000263826	3	186781780	186784179
ENSG00000263847	18	9112404	9115877
ENSG00000263904	18	32245946	32249032
ENSG00000263916	18	49484536	49486149
ENSG00000263924	18	31844388	31845178
ENSG00000263938	17	58965952	58966727
ENSG00000263990	17	31873926	31886666
ENSG00000264019	17	47946802	47948275
ENSG00000264066	17	28860897	28861998
ENSG00000264083	17	32430967	32432841
ENSG00000264112	17	57989038	57994850
ENSG00000264116	18	75406983	75426607
ENSG00000264125	17	30204318	30206468
ENSG00000264151	18	27305110	27595164
ENSG00000264188	18	21661787	21662395
ENSG00000264207	1	149861271	149862504
ENSG00000264273	17	18859354	18861466
ENSG00000264290	17	29569580	29570519
ENSG00000264304	17	28892469	28893342
ENSG00000264365	18	24364787	24367984
ENSG00000264451	17	48460370	48466040
ENSG00000264456	17	30971652	30973312
ENSG00000264546	17	62549726	62552121
ENSG00000264548	17	82214227	82217352
ENSG00000264587	18	29518259	29548241
ENSG00000264596	18	7814118	7815730
ENSG00000264635	18	738058	739662
ENSG00000264666	17	17591428	17632141
ENSG00000264673	17	16788248	16789234
ENSG00000264701	17	47980261	48014116
ENSG00000264727	17	11288205	11290811
ENSG00000264735	17	81965632	81966589
ENSG00000264739	17	16414524	16416689
ENSG00000264772	17	7572826	7582024
ENSG00000264808	17	29294511	29391044
ENSG00000264812	17	82400703	82401382
ENSG00000264825	18	22213778	22228029
ENSG00000264853	17	75370947	75373736
ENSG00000264869	18	68102087	68114878
ENSG00000264956	17	22266395	22297368
ENSG00000264985	17	73513469	73521407
ENSG00000265010	17	73243093	73244706
ENSG00000265043	17	21456513	21460215
ENSG00000265055	17	68096046	68102549
ENSG00000265073	17	28732963	28743102
ENSG00000265094	18	24435364	24439638
ENSG00000265100	17	68237047	68247938
ENSG00000265113	16	69240549	69241929
ENSG00000265115	17	33627027	33635057
ENSG00000265125	17	33523748	33624122
ENSG00000265179	18	894043	907768
ENSG00000265246	17	27230685	27241753
ENSG00000265257	18	9102736	9254346
ENSG00000265287	17	28607963	28609730
ENSG00000265334	17	30834325	30863028
ENSG00000265399	18	3190397	3247277
ENSG00000265408	16	66942712	66963256
ENSG00000265443	17	30726305	30727564
ENSG00000265494	17	13909231	13911212
ENSG00000265618	17	28361601	28362859
ENSG00000265625	17	29644796	29645847
ENSG00000265643	18	69483627	69618694
ENSG00000265702	17	62699244	62754973
ENSG00000265728	18	10594590	10604798
ENSG00000265737	18	14816151	14825249
ENSG00000265739	17	30122429	30126118
ENSG00000265749	17	8365563	8381328
ENSG00000265799	17	39986405	40014718
ENSG00000265800	17	75138416	75141350
ENSG00000265844	18	77162583	77235430
ENSG00000265907	18	2948238	2960756
ENSG00000265912	17	64943262	64951054
ENSG00000265948	18	21316878	21317795
ENSG00000265980	18	29278509	29361963
ENSG00000266049	18	2688564	2833065
ENSG00000266088	17	40516699	40532686
ENSG00000266111	17	29352069	29404105
ENSG00000266171	18	735746	737459
ENSG00000266222	17	48377262	48380370
ENSG00000266237	18	26266009	26267409
ENSG00000266268	18	4775054	5004647
ENSG00000266313	17	27332721	27355415
ENSG00000266340	17	30978610	30980250
ENSG00000266371	17	31133182	31138518
ENSG00000266378	17	14327335	14329474
ENSG00000266385	17	32411217	32412420
ENSG00000266401	18	3653030	3656282
ENSG00000266456	18	650229	652843
ENSG00000266527	17	27874645	27881237
ENSG00000266538	17	15530773	15531089
ENSG00000266541	18	9587386	9590182
ENSG00000266578	18	3283757	3330984
ENSG00000266602	18	1509013	2049514
ENSG00000266644	17	64899766	64900716
ENSG00000266651	17	16440479	16440952
ENSG00000266677	17	18172593	18184791
ENSG00000266696	18	49205912	49208781
ENSG00000266711	17	79132722	79136402
ENSG00000266717	17	67950885	67951746
ENSG00000266718	17	32495536	32500910
ENSG00000266743	18	76162343	76255322
ENSG00000266783	18	2561172	2562220
ENSG00000266805	18	9506242	9509726
ENSG00000266821	17	47879472	47882398
ENSG00000266844	18	76974690	76984162
ENSG00000266877	17	31583162	31637543
ENSG00000266896	6	169770413	169772042
ENSG00000266922	19	11725961	11730783
ENSG00000266923	12	92421531	92483680
ENSG00000266936	19	11010917	11016011
ENSG00000266947	17	35231449	35243011
ENSG00000266951	19	15613247	15614553
ENSG00000266955	18	11993988	11994938
ENSG00000266961	18	12738965	12750068
ENSG00000266976	19	28606688	28615229
ENSG00000266990	19	999796	1002757
ENSG00000266998	17	77368746	77377236
ENSG00000267002	17	43148366	43171037
ENSG00000267004	19	12725517	12725886
ENSG00000267009	17	68413623	68524949
ENSG00000267011	19	4457962	4471493
ENSG00000267026	9	98847172	98877362
ENSG00000267033	19	16186276	16189458
ENSG00000267053	19	36257608	36321294
ENSG00000267054	19	33178056	33178651
ENSG00000267077	16	4795265	4796532
ENSG00000267082	19	11197618	11221809
ENSG00000267096	19	55670632	55672069
ENSG00000267098	18	60628963	60902726
ENSG00000267114	19	44950044	44954007
ENSG00000267122	19	2212029	2215565
ENSG00000267136	18	13514520	13522888
ENSG00000267137	17	61460224	61463384
ENSG00000267138	19	3754620	3756659
ENSG00000267152	19	37728586	37730643
ENSG00000267174	19	11295715	11324441
ENSG00000267175	18	61545786	61749101
ENSG00000267177	18	13234945	13236470
ENSG00000267197	19	10490339	10491000
ENSG00000267198	17	45489979	45577606
ENSG00000267199	18	12438890	12448205
ENSG00000267205	19	3753840	3756517
ENSG00000267219	19	34341346	34359416
ENSG00000267222	17	42495867	42496550
ENSG00000267234	19	19401979	19402603
ENSG00000267239	18	13203774	13216367
ENSG00000267248	17	60122294	60135785
ENSG00000267249	18	12670426	12671145
ENSG00000267260	19	36773100	36777078
ENSG00000267269	18	59685820	59690723
ENSG00000267274	19	11939959	11953381
ENSG00000267277	19	11367953	11374946
ENSG00000267317	19	1457670	1458580
ENSG00000267353	19	36773712	36775908
ENSG00000267364	17	35313442	35325449
ENSG00000267372	19	1321225	1322846
ENSG00000267373	19	16103761	16104254
ENSG00000267383	19	20122569	20321305
ENSG00000267401	18	60294136	60301317
ENSG00000267412	19	2610155	2611862
ENSG00000267439	19	35747057	35753415
ENSG00000267457	17	35073831	35074374
ENSG00000267462	18	60010281	60014258
ENSG00000267474	19	14458401	14459366
ENSG00000267481	19	19788755	19790531
ENSG00000267484	19	4838332	4838907
ENSG00000267491	17	78903263	78913429
ENSG00000267504	18	58371566	58372666
ENSG00000267505	17	44782220	44794653
ENSG00000267510	19	9291515	9294482
ENSG00000267520	2	60925909	60931610
ENSG00000267543	17	76549951	76550826
ENSG00000267547	17	35403837	35404373
ENSG00000267555	19	32831295	32833168
ENSG00000267559	9	81930226	81977109
ENSG00000267565	19	19892433	19895847
ENSG00000267571	19	5911578	5915320
ENSG00000267605	19	37235507	37304395
ENSG00000267612	19	9730853	9731943
ENSG00000267625	17	35561539	35562077
ENSG00000267627	18	35951797	35973919
ENSG00000267632	17	42509784	42511519
ENSG00000267633	19	13772118	13774118
ENSG00000267638	17	44115912	44120595
ENSG00000267644	17	28219285	28220005
ENSG00000267665	17	77516827	77536603
ENSG00000267666	19	663448	669500
ENSG00000267672	19	37091341	37092564
ENSG00000267682	19	37337236	37337743
ENSG00000267686	18	60125033	60161195
ENSG00000267703	19	16440946	16443584
ENSG00000267714	19	33217781	33222355
ENSG00000267729	17	28727258	28727739
ENSG00000267731	17	68189884	68192802
ENSG00000267734	1	86932199	86934891
ENSG00000267737	17	78315729	78347798
ENSG00000267745	17	35406684	35409768
ENSG00000267749	19	2641838	2643853
ENSG00000267801	17	75876372	75879546
ENSG00000267808	19	51599286	51600472
ENSG00000267834	9	129004502	129004998
ENSG00000267872	19	22243254	22245347
ENSG00000267882	20	47318502	47320754
ENSG00000267892	19	38738284	38739863
ENSG00000267904	19	16639967	16640668
ENSG00000267922	19	46101122	46196218
ENSG00000267927	19	52171158	52177002
ENSG00000267934	19	23323968	23329101
ENSG00000267939	19	8005761	8016025
ENSG00000267943	19	53007512	53013180
ENSG00000267980	19	4363789	4364640
ENSG00000267992	19	39030436	39031323
ENSG00000268015	19	52222225	52231294
ENSG00000268027	19	41545192	41555462
ENSG00000268030	19	18557775	18561560
ENSG00000268051	19	37963853	37964790
ENSG00000268056	19	17152588	17168051
ENSG00000268081	19	21542901	21569265
ENSG00000268087	19	16610411	16636531
ENSG00000268093	19	48619272	48624132
ENSG00000268119	19	21444241	21464026
ENSG00000268170	7	143220468	143222267
ENSG00000268181	7	63396272	63399461
ENSG00000268201	19	58266635	58267685
ENSG00000268204	19	7633766	7636990
ENSG00000268205	19	57304305	57308562
ENSG00000268218	16	89268104	89273044
ENSG00000268230	19	58346854	58362751
ENSG00000268240	19	21587424	21596026
ENSG00000268266	19	57477308	57482996
ENSG00000268289	19	17051994	17055087
ENSG00000268309	19	16551773	16552328
ENSG00000268362	19	24033401	24077377
ENSG00000268401	19	46027648	46031667
ENSG00000268460	19	46201552	46214838
ENSG00000268499	19	38199836	38200934
ENSG00000268520	19	51361712	51365544
ENSG00000268555	19	21569738	21587368
ENSG00000268573	18	35280867	35290201
ENSG00000268575	1	1702736	1737688
ENSG00000268583	19	48204071	48215134
ENSG00000268618	19	8549506	8550139
ENSG00000268635	11	77473371	77477030
ENSG00000268650	19	18204356	18220480
ENSG00000268683	19	34638122	34640689
ENSG00000268686	19	49368558	49388091
ENSG00000268743	19	16844025	16846473
ENSG00000268744	19	12379189	12401274
ENSG00000268746	19	47607524	47733098
ENSG00000268756	19	38820166	38842462
ENSG00000268798	19	1440839	1441938
ENSG00000268818	22	35626988	35635134
ENSG00000268858	20	63861212	63865874
ENSG00000268912	19	58428632	58431148
ENSG00000268931	19	8423355	8427827
ENSG00000268945	19	12682693	12687279
ENSG00000268947	19	35262846	35264804
ENSG00000268970	19	52597699	52598887
ENSG00000269043	19	20432552	20571095
ENSG00000269044	19	16633797	16635269
ENSG00000269050	19	38870159	38876250
ENSG00000269053	19	17419305	17419774
ENSG00000269066	19	17095418	17099307
ENSG00000269091	19	50043196	50051062
ENSG00000269107	19	23257255	23274232
ENSG00000269110	19	20553792	20661583
ENSG00000269148	19	45830164	45831108
ENSG00000269161	19	17518330	17520565
ENSG00000269296	19	40090754	40105962
ENSG00000269318	19	4356637	4358448
ENSG00000269353	19	40946347	40947450
ENSG00000269399	19	16542531	16544815
ENSG00000269444	19	6386762	6390400
ENSG00000269446	7	157109980	157111072
ENSG00000269480	19	17207138	17208010
ENSG00000269482	16	90631	91102
ENSG00000269504	19	22017898	22052370
ENSG00000269514	12	48198357	48264126
ENSG00000269535	19	52300693	52345229
ENSG00000269553	19	35330843	35331920
ENSG00000269560	19	12529768	12532973
ENSG00000269600	19	58590710	58599358
ENSG00000269604	19	4791745	4795559
ENSG00000269635	19	15221015	15222297
ENSG00000269653	19	38184376	38186265
ENSG00000269667	16	85981684	85984884
ENSG00000269680	19	6748293	6751467
ENSG00000269688	19	38844729	38845499
ENSG00000269694	19	18881680	18883376
ENSG00000269707	2	104853285	104927722
ENSG00000269752	19	17613722	17614430
ENSG00000269792	19	39532412	39536340
ENSG00000269799	19	16801426	16801714
ENSG00000269807	19	4347244	4354057
ENSG00000269842	19	53648043	53764199
ENSG00000269867	19	57867038	57868172
ENSG00000269887	1	164680085	164680799
ENSG00000269898	16	85743287	85744225
ENSG00000269918	8	11104691	11106704
ENSG00000269934	1	228238241	228276066
ENSG00000269937	16	2561471	2565096
ENSG00000269940	14	103694560	103695170
ENSG00000269945	14	71219100	71222724
ENSG00000269947	17	8277763	8278436
ENSG00000269958	14	103696353	103697163
ENSG00000269970	9	122372605	122372825
ENSG00000269973	2	9936360	9939590
ENSG00000269982	3	9958717	9962539
ENSG00000269984	3	169777192	169780334
ENSG00000270008	13	32425358	32432954
ENSG00000270022	22	42614636	42626375
ENSG00000270060	11	47168281	47169563
ENSG00000270066	1	109100094	109103279
ENSG00000270072	11	47513605	47514889
ENSG00000270077	8	97144170	97144723
ENSG00000270083	22	42089630	42090028
ENSG00000270103	1	28648600	28648730
ENSG00000270118	16	28454141	28454511
ENSG00000270127	15	100547765	100550153
ENSG00000270133	5	94592907	94618122
ENSG00000270165	16	67738588	67739922
ENSG00000270184	16	85784382	85787617
ENSG00000270207	3	7569999	7790482
ENSG00000270212	19	33283978	33293329
ENSG00000270277	2	178548884	178550681
ENSG00000270504	6	3751111	3753907
ENSG00000270605	1	28239509	28247210
ENSG00000270755	9	130044713	130045081
ENSG00000270760	19	36144081	36148348
ENSG00000270823	7	130495794	130498427
ENSG00000270871	17	35816717	35830293
ENSG00000270894	17	35818399	35823713
ENSG00000270996	2	75719120	75720018
ENSG00000271032	19	35014961	35025335
ENSG00000271046	10	11673618	11680527
ENSG00000271119	5	1594592	1611467
ENSG00000271151	2	173968351	173969418
ENSG00000271199	X	73958059	73969485
ENSG00000271204	7	130930209	130932206
ENSG00000271420	1	23378380	23379029
ENSG00000271533	X	74209976	74213660
ENSG00000271579	12	115299588	115300708
ENSG00000271670	10	120879256	120880667
ENSG00000271724	5	146375591	146376219
ENSG00000271727	6	692382	834289
ENSG00000271752	5	50662859	50663266
ENSG00000271755	6	27404010	27406964
ENSG00000271771	5	34158121	34158767
ENSG00000271789	6	111297126	111298510
ENSG00000271806	1	2141084	2145279
ENSG00000271811	1	170667381	170669425
ENSG00000271828	5	56927874	56929573
ENSG00000271851	17	9553323	9555696
ENSG00000271860	6	97283268	98463102
ENSG00000271894	2	56118076	56386171
ENSG00000271933	10	84138420	84140582
ENSG00000271958	4	38618265	38619437
ENSG00000271976	3	53858994	53861576
ENSG00000271983	15	80693216	80693707
ENSG00000271992	1	70445071	70445536
ENSG00000271996	2	177306373	177310572
ENSG00000272021	5	95834772	95864541
ENSG00000272027	2	34692290	34703606
ENSG00000272054	2	37208875	37212677
ENSG00000272079	16	3004871	3007388
ENSG00000272094	1	90860550	90862920
ENSG00000272106	1	1613758	1615795
ENSG00000272108	5	141118680	141120765
ENSG00000272115	8	144409492	144409976
ENSG00000272140	10	73703735	73713581
ENSG00000272175	1	51801028	51801307
ENSG00000272182	3	58428255	58428815
ENSG00000272195	1	244969230	244971109
ENSG00000272211	2	196151263	196154881
ENSG00000272219	7	101960116	101961894
ENSG00000272221	6	31382711	31400793
ENSG00000272329	13	96948018	96949584
ENSG00000272330	16	73014319	73014476
ENSG00000272335	5	44826076	44828592
ENSG00000272345	6	24700907	24701793
ENSG00000272356	6	111309203	111313517
ENSG00000272368	12	50112197	50165618
ENSG00000272374	6	35220370	35224630
ENSG00000272402	6	24706747	24707151
ENSG00000272447	10	79825902	79827602
ENSG00000272449	1	2530064	2547878
ENSG00000272463	6	708592	711811
ENSG00000272473	19	769698	789808
ENSG00000272476	6	107957413	107959986
ENSG00000272489	10	79663192	79664786
ENSG00000272491	1	48227888	48229561
ENSG00000272501	6	31185197	31198037
ENSG00000272563	2	113432600	113436042
ENSG00000272574	1	162593103	162593754
ENSG00000272582	22	37950965	37951778
ENSG00000272600	22	20889206	20891214
ENSG00000272604	7	105571083	105573660
ENSG00000272622	2	226794675	226813741
ENSG00000272630	10	73098044	73101297
ENSG00000272631	10	86719835	86756386
ENSG00000272660	3	179584271	179584410
ENSG00000272667	2	127886556	127887185
ENSG00000272682	22	19124309	19128449
ENSG00000272688	18	3232587	3248172
ENSG00000272696	9	128316337	128316909
ENSG00000272720	22	38090127	38091559
ENSG00000272754	2	32321638	32323002
ENSG00000272760	7	154951226	154952188
ENSG00000272763	17	48634804	48647050
ENSG00000272768	7	44884953	44886394
ENSG00000272787	22	23969211	23969873
ENSG00000272789	2	127625997	127626848
ENSG00000272831	7	66739829	66740651
ENSG00000272865	1	242147230	242210832
ENSG00000272874	20	267186	268857
ENSG00000272892	10	67849481	67850746
ENSG00000272906	1	179881607	179882703
ENSG00000272908	7	38326070	38329643
ENSG00000272909	14	64440369	64442238
ENSG00000272912	10	102914585	102915404
ENSG00000272918	7	105102838	105105483
ENSG00000272927	4	661209	664213
ENSG00000272941	7	135168403	135169547
ENSG00000272945	20	34281632	34286466
ENSG00000272958	21	34425508	34426017
ENSG00000272970	3	184712184	184780742
ENSG00000272977	22	25476218	25479971
ENSG00000272983	10	38137337	38144399
ENSG00000273007	4	122879778	122885805
ENSG00000273055	7	107940023	107942740
ENSG00000273076	22	38743495	38743910
ENSG00000273080	2	86195148	86196644
ENSG00000273108	10	103608619	103610050
ENSG00000273112	1	161513176	161605099
ENSG00000273145	22	46013240	46015503
ENSG00000273151	7	879790	886547
ENSG00000273156	4	82344876	82346842
ENSG00000273174	3	129123439	129124003
ENSG00000273175	1	244863764	244865907
ENSG00000273188	22	50191724	50192402
ENSG00000273218	19	15346068	15348417
ENSG00000273221	1	111184415	111185061
ENSG00000273230	7	1464497	1467522
ENSG00000273270	7	128516436	128531612
ENSG00000273272	22	50541108	50543042
ENSG00000273284	18	9259388	9260390
